# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 1.0283e-07
-7.475 0.725 1.4368e-07
-7.475 0.775 1.9724e-07
-7.475 0.825 2.6666e-07
-7.475 0.875 3.5581e-07
-7.475 0.925 4.6946e-07
-7.475 0.975 6.1360e-07
-7.475 1.025 7.9562e-07
-7.475 1.075 1.0247e-06
-7.475 1.125 1.3123e-06
-7.475 1.175 1.6722e-06
-7.475 1.225 2.1216e-06
-7.475 1.275 2.6810e-06
-7.475 1.325 3.3749e-06
-7.475 1.375 4.2324e-06
-7.475 1.425 5.2870e-06
-7.475 1.475 6.5766e-06
-7.475 1.525 8.1429e-06
-7.475 1.575 1.0030e-05
-7.475 1.625 1.2282e-05
-7.475 1.675 1.4942e-05
-7.475 1.725 1.8048e-05
-7.475 1.775 2.1638e-05
-7.475 1.825 2.5755e-05
-7.475 1.875 3.0468e-05
-7.475 1.925 3.5914e-05
-7.475 1.975 4.2364e-05
-7.475 2.025 5.0321e-05
-7.475 2.075 6.0641e-05
-7.475 2.125 7.4668e-05
-7.475 2.175 9.4360e-05
-7.475 2.225 1.2238e-04
-7.475 2.275 1.6215e-04
-7.475 2.325 2.1790e-04
-7.475 2.375 2.9472e-04
-7.475 2.425 3.9865e-04
-7.475 2.475 5.3689e-04
-7.475 2.525 7.1807e-04
-7.475 2.575 9.5269e-04
-7.475 2.625 1.2537e-03
-7.475 2.675 1.6369e-03
-7.475 2.725 2.1221e-03
-7.475 2.775 2.7338e-03
-7.475 2.825 3.5021e-03
-7.475 2.875 4.4642e-03
-7.475 2.925 5.6653e-03
-7.475 2.975 7.1600e-03
-7.475 3.025 9.0139e-03
-7.475 3.075 1.1304e-02
-7.475 3.125 1.4118e-02
-7.475 3.175 1.7557e-02
-7.475 3.225 2.1727e-02
-7.475 3.275 2.6736e-02
-7.475 3.325 3.2684e-02
-7.475 3.375 3.9644e-02
-7.475 3.425 4.7640e-02
-7.475 3.475 5.6615e-02
-7.475 3.525 6.6395e-02
-7.475 3.575 7.6649e-02
-7.475 3.625 8.6855e-02
-7.475 3.675 9.6269e-02
-7.475 3.725 1.0387e-01
-7.475 3.775 1.0806e-01
-7.475 3.825 1.0148e-01
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
