# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 5.6054e-18
-7.475 0.725 1.1188e-17
-7.475 0.775 2.2331e-17
-7.475 0.825 4.4575e-17
-7.475 0.875 8.8981e-17
-7.475 0.925 1.7763e-16
-7.475 0.975 3.5463e-16
-7.475 1.025 7.0805e-16
-7.475 1.075 1.4138e-15
-7.475 1.125 2.8232e-15
-7.475 1.175 5.6383e-15
-7.475 1.225 1.1262e-14
-7.475 1.275 2.2496e-14
-7.475 1.325 4.4943e-14
-7.475 1.375 8.9804e-14
-7.475 1.425 1.7947e-13
-7.475 1.475 3.5875e-13
-7.475 1.525 7.1724e-13
-7.475 1.575 1.4343e-12
-7.475 1.625 2.8691e-12
-7.475 1.675 5.7406e-12
-7.475 1.725 1.1490e-11
-7.475 1.775 2.3005e-11
-7.475 1.825 4.6078e-11
-7.475 1.875 9.2331e-11
-7.475 1.925 1.8510e-10
-7.475 1.975 3.7126e-10
-7.475 2.025 7.4503e-10
-7.475 2.075 1.4960e-09
-7.475 2.125 3.0056e-09
-7.475 2.175 6.0426e-09
-7.475 2.225 1.2156e-08
-7.475 2.275 2.4471e-08
-7.475 2.325 4.9293e-08
-7.475 2.375 9.9355e-08
-7.475 2.425 2.0036e-07
-7.475 2.475 4.0422e-07
-7.475 2.525 8.1565e-07
-7.475 2.575 1.6457e-06
-7.475 2.625 3.3186e-06
-7.475 2.675 6.6850e-06
-7.475 2.725 1.3441e-05
-7.475 2.775 2.6949e-05
-7.475 2.825 5.3805e-05
-7.475 2.875 1.0680e-04
-7.475 2.925 2.1035e-04
-7.475 2.975 4.1008e-04
-7.475 3.025 7.8922e-04
-7.475 3.075 1.4953e-03
-7.475 3.125 2.7820e-03
-7.475 3.175 5.0738e-03
-7.475 3.225 9.0697e-03
-7.475 3.275 1.5927e-02
-7.475 3.325 2.7622e-02
-7.475 3.375 4.7708e-02
-7.475 3.425 8.2861e-02
-7.475 3.475 1.4584e-01
-7.475 3.525 2.6061e-01
-7.475 3.575 4.7015e-01
-7.475 3.625 8.4571e-01
-7.475 3.675 1.4927e+00
-7.475 3.725 2.5408e+00
-7.475 3.775 4.0893e+00
-7.475 3.825 5.7861e+00
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
