# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 0.0000e+00
-7.475 0.725 1.0058e-18
-7.475 0.775 2.0076e-18
-7.475 0.825 4.0073e-18
-7.475 0.875 7.9994e-18
-7.475 0.925 1.5969e-17
-7.475 0.975 3.1882e-17
-7.475 1.025 6.3655e-17
-7.475 1.075 1.2710e-16
-7.475 1.125 2.5382e-16
-7.475 1.175 5.0691e-16
-7.475 1.225 1.0125e-15
-7.475 1.275 2.0226e-15
-7.475 1.325 4.0409e-15
-7.475 1.375 8.0746e-15
-7.475 1.425 1.6138e-14
-7.475 1.475 3.2259e-14
-7.475 1.525 6.4500e-14
-7.475 1.575 1.2900e-13
-7.475 1.625 2.5806e-13
-7.475 1.675 5.1641e-13
-7.475 1.725 1.0338e-12
-7.475 1.775 2.0703e-12
-7.475 1.825 4.1478e-12
-7.475 1.875 8.3142e-12
-7.475 1.925 1.6675e-11
-7.475 1.975 3.3463e-11
-7.475 2.025 6.7199e-11
-7.475 2.075 1.3505e-10
-7.475 2.125 2.7163e-10
-7.475 2.175 5.4685e-10
-7.475 2.225 1.1021e-09
-7.475 2.275 2.2235e-09
-7.475 2.325 4.4916e-09
-7.475 2.375 9.0858e-09
-7.475 2.425 1.8407e-08
-7.475 2.475 3.7350e-08
-7.475 2.525 7.5922e-08
-7.475 2.575 1.5462e-07
-7.475 2.625 3.1552e-07
-7.475 2.675 6.4521e-07
-7.475 2.725 1.3223e-06
-7.475 2.775 2.7157e-06
-7.475 2.825 5.5896e-06
-7.475 2.875 1.1527e-05
-7.475 2.925 2.3811e-05
-7.475 2.975 4.9240e-05
-7.475 3.025 1.0185e-04
-7.475 3.075 2.1048e-04
-7.475 3.125 4.3376e-04
-7.475 3.175 8.8924e-04
-7.475 3.225 1.8074e-03
-7.475 3.275 3.6257e-03
-7.475 3.325 7.1387e-03
-7.475 3.375 1.3703e-02
-7.475 3.425 2.5457e-02
-7.475 3.475 4.5486e-02
-7.475 3.525 7.7976e-02
-7.475 3.575 1.2904e-01
-7.475 3.625 2.1013e-01
-7.475 3.675 3.4653e-01
-7.475 3.725 5.8900e-01
-7.475 3.775 1.0111e+00
-7.475 3.825 1.5785e+00
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
