# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 1.5197e-15
-7.475 0.725 3.0330e-15
-7.475 0.775 6.0532e-15
-7.475 0.825 1.2081e-14
-7.475 0.875 2.4112e-14
-7.475 0.925 4.8125e-14
-7.475 0.975 9.6051e-14
-7.475 1.025 1.9171e-13
-7.475 1.075 3.8262e-13
-7.475 1.125 7.6364e-13
-7.475 1.175 1.5240e-12
-7.475 1.225 3.0413e-12
-7.475 1.275 6.0685e-12
-7.475 1.325 1.2107e-11
-7.475 1.375 2.4149e-11
-7.475 1.425 4.8156e-11
-7.475 1.475 9.5992e-11
-7.475 1.525 1.9125e-10
-7.475 1.575 3.8077e-10
-7.475 1.625 7.5745e-10
-7.475 1.675 1.5050e-09
-7.475 1.725 2.9861e-09
-7.475 1.775 5.9134e-09
-7.475 1.825 1.1682e-08
-7.475 1.875 2.3008e-08
-7.475 1.925 4.5138e-08
-7.475 1.975 8.8123e-08
-7.475 2.025 1.7100e-07
-7.475 2.075 3.2932e-07
-7.475 2.125 6.2837e-07
-7.475 2.175 1.1856e-06
-7.475 2.225 2.2067e-06
-7.475 2.275 4.0423e-06
-7.475 2.325 7.2677e-06
-7.475 2.375 1.2791e-05
-7.475 2.425 2.1979e-05
-7.475 2.475 3.6793e-05
-7.475 2.525 5.9895e-05
-7.475 2.575 9.4713e-05
-7.475 2.625 1.4544e-04
-7.475 2.675 2.1699e-04
-7.475 2.725 3.1497e-04
-7.475 2.775 4.4583e-04
-7.475 2.825 6.1727e-04
-7.475 2.875 8.3951e-04
-7.475 2.925 1.1277e-03
-7.475 2.975 1.5073e-03
-7.475 3.025 2.0227e-03
-7.475 3.075 2.7544e-03
-7.475 3.125 3.8450e-03
-7.475 3.175 5.5390e-03
-7.475 3.225 8.2348e-03
-7.475 3.275 1.2543e-02
-7.475 3.325 1.9338e-02
-7.475 3.375 2.9777e-02
-7.475 3.425 4.5268e-02
-7.475 3.475 6.7382e-02
-7.475 3.525 9.7703e-02
-7.475 3.575 1.3766e-01
-7.475 3.625 1.8829e-01
-7.475 3.675 2.4996e-01
-7.475 3.725 3.2168e-01
-7.475 3.775 3.9884e-01
-7.475 3.825 4.4732e-01
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
