# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 5.5989e-17
-7.475 0.725 1.1175e-16
-7.475 0.775 2.2305e-16
-7.475 0.825 4.4523e-16
-7.475 0.875 8.8877e-16
-7.475 0.925 1.7742e-15
-7.475 0.975 3.5421e-15
-7.475 1.025 7.0720e-15
-7.475 1.075 1.4121e-14
-7.475 1.125 2.8197e-14
-7.475 1.175 5.6310e-14
-7.475 1.225 1.1247e-13
-7.475 1.275 2.2465e-13
-7.475 1.325 4.4878e-13
-7.475 1.375 8.9666e-13
-7.475 1.425 1.7918e-12
-7.475 1.475 3.5811e-12
-7.475 1.525 7.1585e-12
-7.475 1.575 1.4312e-11
-7.475 1.625 2.8621e-11
-7.475 1.675 5.7247e-11
-7.475 1.725 1.1453e-10
-7.475 1.775 2.2919e-10
-7.475 1.825 4.5875e-10
-7.475 1.875 9.1847e-10
-7.475 1.925 1.8393e-09
-7.475 1.975 3.6840e-09
-7.475 2.025 7.3803e-09
-7.475 2.075 1.4787e-08
-7.475 2.125 2.9627e-08
-7.475 2.175 5.9357e-08
-7.475 2.225 1.1889e-07
-7.475 2.275 2.3800e-07
-7.475 2.325 4.7607e-07
-7.475 2.375 9.5111e-07
-7.475 2.425 1.8968e-06
-7.475 2.475 3.7733e-06
-7.475 2.525 7.4807e-06
-7.475 2.575 1.4763e-05
-7.475 2.625 2.8960e-05
-7.475 2.675 5.6367e-05
-7.475 2.725 1.0863e-04
-7.475 2.775 2.0675e-04
-7.475 2.825 3.8755e-04
-7.475 2.875 7.1325e-04
-7.475 2.925 1.2848e-03
-7.475 2.975 2.2587e-03
-7.475 3.025 3.8660e-03
-7.475 3.075 6.4342e-03
-7.475 3.125 1.0414e-02
-7.475 3.175 1.6425e-02
-7.475 3.225 2.5362e-02
-7.475 3.275 3.8618e-02
-7.475 3.325 5.8579e-02
-7.475 3.375 8.9604e-02
-7.475 3.425 1.3992e-01
-7.475 3.475 2.2505e-01
-7.475 3.525 3.7358e-01
-7.475 3.575 6.3576e-01
-7.475 3.625 1.0939e+00
-7.475 3.675 1.8698e+00
-7.475 3.725 3.1158e+00
-7.475 3.775 4.9572e+00
-7.475 3.825 6.9962e+00
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
