# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 1.3020e-16
-7.475 0.725 2.5986e-16
-7.475 0.775 5.1867e-16
-7.475 0.825 1.0353e-15
-7.475 0.875 2.0665e-15
-7.475 0.925 4.1252e-15
-7.475 0.975 8.2351e-15
-7.475 1.025 1.6441e-14
-7.475 1.075 3.2824e-14
-7.475 1.125 6.5537e-14
-7.475 1.175 1.3086e-13
-7.475 1.225 2.6132e-13
-7.475 1.275 5.2185e-13
-7.475 1.325 1.0422e-12
-7.475 1.375 2.0816e-12
-7.475 1.425 4.1577e-12
-7.475 1.475 8.3049e-12
-7.475 1.525 1.6589e-11
-7.475 1.575 3.3138e-11
-7.475 1.625 6.6192e-11
-7.475 1.675 1.3220e-10
-7.475 1.725 2.6402e-10
-7.475 1.775 5.2712e-10
-7.475 1.825 1.0520e-09
-7.475 1.875 2.0986e-09
-7.475 1.925 4.1835e-09
-7.475 1.975 8.3313e-09
-7.475 2.025 1.6570e-08
-7.475 2.075 3.2898e-08
-7.475 2.125 6.5165e-08
-7.475 2.175 1.2870e-07
-7.475 2.225 2.5319e-07
-7.475 2.275 4.9565e-07
-7.475 2.325 9.6425e-07
-7.475 2.375 1.8612e-06
-7.475 2.425 3.5575e-06
-7.475 2.475 6.7189e-06
-7.475 2.525 1.2507e-05
-7.475 2.575 2.2883e-05
-7.475 2.625 4.1033e-05
-7.475 2.675 7.1904e-05
-7.475 2.725 1.2282e-04
-7.475 2.775 2.0404e-04
-7.475 2.825 3.2932e-04
-7.475 2.875 5.1630e-04
-7.475 2.925 7.8741e-04
-7.475 2.975 1.1721e-03
-7.475 3.025 1.7123e-03
-7.475 3.075 2.4751e-03
-7.475 3.125 3.5783e-03
-7.475 3.175 5.2374e-03
-7.475 3.225 7.8483e-03
-7.475 3.275 1.2120e-02
-7.475 3.325 1.9263e-02
-7.475 3.375 3.1229e-02
-7.475 3.425 5.0945e-02
-7.475 3.475 8.2437e-02
-7.475 3.525 1.3071e-01
-7.475 3.575 2.0128e-01
-7.475 3.625 2.9927e-01
-7.475 3.675 4.2813e-01
-7.475 3.725 5.8769e-01
-7.475 3.775 7.6906e-01
-7.475 3.825 9.0137e-01
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
