# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 1.7142e-16
-7.475 0.725 3.4213e-16
-7.475 0.775 6.8289e-16
-7.475 0.825 1.3631e-15
-7.475 0.875 2.7210e-15
-7.475 0.925 5.4319e-15
-7.475 0.975 1.0844e-14
-7.475 1.025 2.1651e-14
-7.475 1.075 4.3230e-14
-7.475 1.125 8.6323e-14
-7.475 1.175 1.7239e-13
-7.475 1.225 3.4430e-13
-7.475 1.275 6.8772e-13
-7.475 1.325 1.3738e-12
-7.475 1.375 2.7448e-12
-7.475 1.425 5.4848e-12
-7.475 1.475 1.0962e-11
-7.475 1.525 2.1911e-11
-7.475 1.575 4.3804e-11
-7.475 1.625 8.7590e-11
-7.475 1.675 1.7518e-10
-7.475 1.725 3.5042e-10
-7.475 1.775 7.0112e-10
-7.475 1.825 1.4031e-09
-7.475 1.875 2.8083e-09
-7.475 1.925 5.6218e-09
-7.475 1.975 1.1256e-08
-7.475 2.025 2.2536e-08
-7.475 2.075 4.5122e-08
-7.475 2.125 9.0330e-08
-7.475 2.175 1.8077e-07
-7.475 2.225 3.6158e-07
-7.475 2.275 7.2260e-07
-7.475 2.325 1.4423e-06
-7.475 2.375 2.8736e-06
-7.475 2.425 5.7112e-06
-7.475 2.475 1.1313e-05
-7.475 2.525 2.2309e-05
-7.475 2.575 4.3738e-05
-7.475 2.625 8.5106e-05
-7.475 2.675 1.6402e-04
-7.475 2.725 3.1233e-04
-7.475 2.775 5.8602e-04
-7.475 2.825 1.0802e-03
-7.475 2.875 1.9496e-03
-7.475 2.925 3.4352e-03
-7.475 2.975 5.8927e-03
-7.475 3.025 9.8209e-03
-7.475 3.075 1.5888e-02
-7.475 3.125 2.4960e-02
-7.475 3.175 3.8172e-02
-7.475 3.225 5.7075e-02
-7.475 3.275 8.4013e-02
-7.475 3.325 1.2288e-01
-7.475 3.375 1.8069e-01
-7.475 3.425 2.7040e-01
-7.475 3.475 4.1603e-01
-7.475 3.525 6.6081e-01
-7.475 3.575 1.0786e+00
-7.475 3.625 1.7865e+00
-7.475 3.675 2.9501e+00
-7.475 3.725 4.7655e+00
-7.475 3.775 7.3729e+00
-7.475 3.825 1.0153e+01
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
