# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 3.3940e-19
-7.475 0.725 6.7743e-19
-7.475 0.775 1.3522e-18
-7.475 0.825 2.6990e-18
-7.475 0.875 5.3878e-18
-7.475 0.925 1.0756e-17
-7.475 0.975 2.1473e-17
-7.475 1.025 4.2874e-17
-7.475 1.075 8.5608e-17
-7.475 1.125 1.7095e-16
-7.475 1.175 3.4142e-16
-7.475 1.225 6.8193e-16
-7.475 1.275 1.3622e-15
-7.475 1.325 2.7216e-15
-7.475 1.375 5.4384e-15
-7.475 1.425 1.0869e-14
-7.475 1.475 2.1727e-14
-7.475 1.525 4.3441e-14
-7.475 1.575 8.6879e-14
-7.475 1.625 1.7380e-13
-7.475 1.675 3.4779e-13
-7.475 1.725 6.9621e-13
-7.475 1.775 1.3942e-12
-7.475 1.825 2.7932e-12
-7.475 1.875 5.5988e-12
-7.475 1.925 1.1228e-11
-7.475 1.975 2.2531e-11
-7.475 2.025 4.5243e-11
-7.475 2.075 9.0915e-11
-7.475 2.125 1.8284e-10
-7.475 2.175 3.6804e-10
-7.475 2.225 7.4155e-10
-7.475 2.275 1.4957e-09
-7.475 2.325 3.0206e-09
-7.475 2.375 6.1076e-09
-7.475 2.425 1.2367e-08
-7.475 2.475 2.5077e-08
-7.475 2.525 5.0933e-08
-7.475 2.575 1.0362e-07
-7.475 2.625 2.1116e-07
-7.475 2.675 4.3109e-07
-7.475 2.725 8.8161e-07
-7.475 2.775 1.8059e-06
-7.475 2.825 3.7049e-06
-7.475 2.875 7.6100e-06
-7.475 2.925 1.5644e-05
-7.475 2.975 3.2165e-05
-7.475 3.025 6.6099e-05
-7.475 3.075 1.3563e-04
-7.475 3.125 2.7762e-04
-7.475 3.175 5.6628e-04
-7.475 3.225 1.1505e-03
-7.475 3.275 2.3287e-03
-7.475 3.325 4.7041e-03
-7.475 3.375 9.5147e-03
-7.475 3.425 1.9346e-02
-7.475 3.475 3.9637e-02
-7.475 3.525 8.1596e-02
-7.475 3.575 1.6703e-01
-7.475 3.625 3.3429e-01
-7.475 3.675 6.4116e-01
-7.475 3.725 1.1549e+00
-7.475 3.775 1.9121e+00
-7.475 3.825 2.7036e+00
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
