# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 1.4807e-16
-7.475 0.725 2.9554e-16
-7.475 0.775 5.8991e-16
-7.475 0.825 1.1775e-15
-7.475 0.875 2.3505e-15
-7.475 0.925 4.6924e-15
-7.475 0.975 9.3680e-15
-7.475 1.025 1.8704e-14
-7.475 1.075 3.7346e-14
-7.475 1.125 7.4577e-14
-7.475 1.175 1.4894e-13
-7.475 1.225 2.9747e-13
-7.475 1.275 5.9422e-13
-7.475 1.325 1.1871e-12
-7.475 1.375 2.3720e-12
-7.475 1.425 4.7404e-12
-7.475 1.475 9.4751e-12
-7.475 1.525 1.8943e-11
-7.475 1.575 3.7879e-11
-7.475 1.625 7.5762e-11
-7.475 1.675 1.5158e-10
-7.475 1.725 3.0334e-10
-7.475 1.775 6.0726e-10
-7.475 1.825 1.2161e-09
-7.475 1.875 2.4362e-09
-7.475 1.925 4.8824e-09
-7.475 1.975 9.7889e-09
-7.475 2.025 1.9634e-08
-7.475 2.075 3.9400e-08
-7.475 2.125 7.9098e-08
-7.475 2.175 1.5886e-07
-7.475 2.225 3.1919e-07
-7.475 2.275 6.4152e-07
-7.475 2.325 1.2897e-06
-7.475 2.375 2.5928e-06
-7.475 2.425 5.2119e-06
-7.475 2.475 1.0472e-05
-7.475 2.525 2.1021e-05
-7.475 2.575 4.2136e-05
-7.475 2.625 8.4270e-05
-7.475 2.675 1.6799e-04
-7.475 2.725 3.3336e-04
-7.475 2.775 6.5742e-04
-7.475 2.825 1.2858e-03
-7.475 2.875 2.4875e-03
-7.475 2.925 4.7456e-03
-7.475 2.975 8.8967e-03
-7.475 3.025 1.6324e-02
-7.475 3.075 2.9194e-02
-7.475 3.125 5.0674e-02
-7.475 3.175 8.5061e-02
-7.475 3.225 1.3770e-01
-7.475 3.275 2.1472e-01
-7.475 3.325 3.2283e-01
-7.475 3.375 4.6982e-01
-7.475 3.425 6.6685e-01
-7.475 3.475 9.3400e-01
-7.475 3.525 1.3104e+00
-7.475 3.575 1.8689e+00
-7.475 3.625 2.7310e+00
-7.475 3.675 4.0711e+00
-7.475 3.725 6.0868e+00
-7.475 3.775 8.8877e+00
-7.475 3.825 1.1689e+01
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
